result_id,election_id,office,state,race_id,event_time,available_at,certified_at,dem_votes,rep_votes,other_votes,two_party_margin,margin_definition,margin_value,score_eligible,score_exclusion_reason,winner_party,winner_caucus,ballot_winner_party,modeled_side,stage,certification_status,source_url,raw_hash,retrieved_at,release_version
senate-2014-MA-certified,senate-2014,US_SENATE,MA,senate-2014-MA,2014-11-04,2014-11-22,,1289944.0,791950.0,6.0,23.9202,dem_minus_rep,23.9202,True,,D,D,D,D,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2014-ME-certified,senate-2014,US_SENATE,ME,senate-2014-ME,2014-11-04,2014-11-22,,190254.0,413505.0,0.0,-36.9768,dem_minus_rep,-36.9768,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2014-MI-certified,senate-2014,US_SENATE,MI,senate-2014-MI,2014-11-04,2014-11-22,,1704936.0,1290199.0,126636.0,13.847,dem_minus_rep,13.847,True,,D,D,D,D,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2014-MN-certified,senate-2014,US_SENATE,MN,senate-2014-MN,2014-11-04,2014-11-22,,1053205.0,850227.0,77215.0,10.6638,dem_minus_rep,10.6638,True,,D,D,D,D,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2014-MS-certified,senate-2014,US_SENATE,MS,senate-2014-MS,2014-11-04,2014-11-22,,239439.0,378481.0,13938.0,-22.5016,dem_minus_rep,-22.5016,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2014-MT-certified,senate-2014,US_SENATE,MT,senate-2014-MT,2014-11-04,2014-11-22,,148184.0,213709.0,7933.0,-18.1062,dem_minus_rep,-18.1062,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2014-NC-certified,senate-2014,US_SENATE,NC,senate-2014-NC,2014-11-04,2014-11-22,,1377651.0,1423259.0,110064.0,-1.6283,dem_minus_rep,-1.6283,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2014-NE-certified,senate-2014,US_SENATE,NE,senate-2014-NE,2014-11-04,2014-11-22,,170127.0,347636.0,22128.0,-34.2838,dem_minus_rep,-34.2838,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2014-NH-certified,senate-2014,US_SENATE,NH,senate-2014-NH,2014-11-04,2014-11-22,,251184.0,235347.0,0.0,3.2551,dem_minus_rep,3.2551,True,,D,D,D,D,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2014-NJ-certified,senate-2014,US_SENATE,NJ,senate-2014-NJ,2014-11-04,2014-11-22,,1043866.0,791297.0,34372.0,13.7628,dem_minus_rep,13.7628,True,,D,D,D,D,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2014-NM-certified,senate-2014,US_SENATE,NM,senate-2014-NM,2014-11-04,2014-11-22,,286409.0,229097.0,0.0,11.1176,dem_minus_rep,11.1176,True,,D,D,D,D,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2014-OK-certified,senate-2014,US_SENATE,OK,senate-2014-OK,2014-11-04,2014-11-22,,234307.0,558166.0,28260.0,-40.8669,dem_minus_rep,-40.8669,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
senate-2014-OK-special-certified,senate-2014,US_SENATE,OK,senate-2014-OK-special,2014-11-04,2014-11-22,,237923.0,557002.0,25965.0,-40.1395,dem_minus_rep,-40.1395,True,,R,R,R,R,general,fte_mediated_unproven,https://history.house.gov/Institution/Election-Statistics/,26a7d8cf3baaa1caf5706b9e23586b449fcc78b11bd1f03c72d02ea3f3faac05,2026-09-19T20:53:00.628650+00:00,1
